,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
2005-01-31,4.554783776777895,-2.5412871279135114,0.2477819904047427,-1.2503538568238792,3.2969209227797687,2.294347019847891
2005-02-28,4.621124385371342,-2.6317883851852493,0.6670629503543215,-1.0086714119007019,3.5448236237196555,2.293140446562044
2005-03-31,4.676646064261608,-2.6909388319281207,0.6450423658551252,-0.8768014648264679,4.033879767961684,2.7558574731096903
2005-04-29,4.546602779849255,-2.525792541292505,0.7196500937050095,-1.5399646773226567,4.2853918089202985,2.0039655243606176
2005-05-31,4.251520796329117,-2.2417388352449965,1.8522276104814708,-2.4465324718626937,4.543907810334188,2.5681242513784173
2005-06-30,4.1350050675877865,-2.026965042621419,0.8296875075856881,-2.7898561831181325,3.418016281536398,1.8575566514702253
2005-07-29,4.245323093897658,-2.17181014067042,0.964463153851067,-2.43300151807228,3.441233926864757,2.3948038889979384
2005-08-31,4.120498790626694,-2.059206445755581,1.1177894834888102,-2.38383122220898,3.8111958160673303,2.72667676514763
2005-09-30,4.094302916993762,-2.0809009733272243,1.3879690110503262,-2.0992370484068856,3.8708459358509977,3.7464612040721037
2005-10-31,4.167639927894111,-2.220575263656255,1.398205565943942,-3.7476750754054886,1.0266588139580757,1.8674255439642051
2005-11-30,4.096048070643271,-1.9293378200390277,1.6147623720738933,-3.5348009831934566,0.9956398015193298,1.751503833616376
2005-12-30,4.032927020704841,-1.8538585662241736,1.7612299296174967,-3.504881961372313,1.2565852294470612,2.5906876752186823
2006-01-31,4.025105887275801,-1.7707596934448069,2.081107924443756,-3.0152230375013467,1.3387301130850702,2.068870765870684
2006-02-28,4.01711670496927,-1.6963671807473144,2.1042418477875464,-2.87059729963059,1.3865462148878491,2.186445750519366
2006-03-31,4.2145255613826285,-1.8129757694414823,2.1553445736868952,-2.681282636372979,1.1296811248056309,1.8189444431374504
2006-04-28,4.388590504928449,-2.055047329052856,2.065091682893336,-2.5813012759370677,1.002887731643948,1.6412446586501548
2006-05-31,4.527130481014943,-2.1030762962633287,1.5020444673776026,-2.8106074656887468,0.8852014461409241,1.8709423453343657
2006-06-30,4.5459354261830764,-2.053831441352433,1.3689091713856056,-2.247759111286366,0.8536319962067563,1.969966369207485
2006-07-31,4.4780718059926246,-1.8270358330788852,0.21358521845302986,-2.1490016366001163,0.5729050694974231,2.3893636593088923
2006-08-31,4.313545869433632,-1.578424513600463,0.04499034309651325,-2.192781952847868,0.3902927203368924,2.5928495072704654
2006-09-29,4.038284373493739,-1.2510434066725111,0.2203473889382661,-1.529950005795874,0.2960872552034283,2.465187920302089
2006-10-31,3.9949088153970687,-1.208749601178645,0.4486015653717011,-1.0418545456581805,0.3177086087145756,2.7065510453345745
2006-11-30,4.0078029339954435,-0.9112444360878518,0.344541203443824,-1.3305853448309009,0.3818806060411303,2.7675313047765773
2006-12-29,4.192288919820442,-1.0295553815060128,0.32763571054934804,-1.0076000792877962,0.4170034534122182,2.9062993874552
2007-01-31,4.327110470349202,-1.0523240380052066,0.23801769593166786,-1.0057096280997166,0.4199035410944872,2.507950357507602
2007-02-28,4.199527797501428,-0.7415538784303821,0.2481668472537084,-1.1891854297375004,0.4348627863089603,2.3657556078672792
2007-03-30,4.4241565475501465,-0.9269160505925104,0.17960018047291093,-1.4525333216106218,0.4306457475174095,2.987485563587206
2007-04-30,4.528314024419828,-0.8674087832517429,0.15136282820454874,-1.337895607220139,0.5434995394746672,3.3586105634889947
