,PC_1,PC_2,PC_3,PC_4,PC_5
2005-01-31,-15.48660296606771,-4.157963185841594,-1.5213209486884611,0.7880650790207652,0.07270238851724657
2005-02-28,-16.045658982634794,-4.324443335779869,-1.400031200652294,0.7853625394468514,0.06496957085070189
2005-03-31,-15.913272827592307,-4.299649146021092,-1.4872506428972634,0.8446593583711346,0.05458794851297141
2005-04-29,-15.133253436218665,-4.241900740061776,-1.6817873018185567,0.7736442905493333,0.10118865004857068
2005-05-31,-14.481032612078403,-3.9707051102012034,-1.6829619873301038,0.6966741579199748,0.07307908649175554
2005-06-30,-13.884539689324399,-3.796046610096795,-1.7239461222778532,0.5803749877658901,0.15932389308574108
2005-07-29,-14.328551968430363,-3.7365932629650374,-1.6488962083982797,0.6898073198409711,0.08856730971161646
2005-08-31,-13.89691211172985,-3.48243741554485,-1.6279988820643283,0.6957545806778102,0.06652516812929066
2005-09-30,-14.067433121844793,-3.2812698821418387,-1.3730368426341053,0.7292419952967489,0.040935100285456175
2005-10-31,-15.053236770257547,-3.3951571133784197,-1.2657795946829524,0.7174043152038814,-0.043232447213385074
2005-11-30,-15.413243194044156,-3.0523291360663913,-1.2184533697513054,0.633989129576896,-0.045248705052501455
2005-12-30,-14.761565102627715,-2.5819523710515897,-1.2497663511328905,0.7787006899271792,-0.11932856319928829
2006-01-31,-15.616597150856336,-2.769991414031493,-1.0260309110454602,0.6499452411455257,-0.082590008418322
2006-02-28,-15.739481735565809,-2.6441845979837724,-1.0018789179768728,0.6482712097426263,-0.09236103888013128
2006-03-31,-16.970562495712535,-2.799585379814232,-0.9291561048065019,0.6439005149393203,-0.11700121849653639
2006-04-28,-17.696334564821644,-3.088624743107922,-0.8659437748447182,0.6798663466231316,-0.1271307087398913
2006-05-31,-17.77682821294424,-3.1236492790846735,-1.1157825455238946,0.7168438434367042,-0.12390687945065695
2006-06-30,-18.27346934900194,-2.992983822045964,-1.0019592004713953,0.7169471283371032,-0.15322685832640487
2006-07-31,-17.837227133359495,-2.6812156727819167,-1.1774496373607708,0.6886973802621675,-0.12932823021006498
2006-08-31,-17.342190219717494,-2.194149729555012,-1.2704860104590454,0.6353081815728053,-0.1346613422894087
2006-09-29,-17.02953596142092,-1.7558744922701297,-1.1722807706144567,0.48067571364363654,-0.11032409586723554
2006-10-31,-17.29629769616923,-1.6319041979054862,-1.0284867251202456,0.45814528264722426,-0.1266871099447584
2006-11-30,-17.155746327503103,-1.5136740009784395,-1.1938122777111912,0.43480075768717247,-0.09097146148323827
2006-12-29,-18.19053271419275,-1.6843814918346045,-1.0779670756247157,0.4656749714555674,-0.11225516235507825
2007-01-31,-18.808190271903086,-1.8356170944540875,-1.1081911954247678,0.4614044338123355,-0.10291436099223716
2007-02-28,-18.25563148115443,-1.6022230686763699,-1.253717067418549,0.38535220311820345,-0.05924153645317353
2007-03-30,-18.85401036002142,-1.6803699114617954,-1.3047870909332608,0.4900662592271528,-0.08955330430500424
2007-04-30,-19.356482450811363,-1.6889706052917357,-1.2832034722496277,0.49864990032411033,-0.08065792737855881
2007-05-31,-20.347483789522776,-1.823683899736966,-1.1313996804537068,0.5358380717346722,-0.13115323653223568
2007-06-29,-20.893000750292952,-2.008064250843534,-1.1438185149508913,0.5401500921998125,-0.13012762594161503
2007-07-31,-20.31168196285395,-1.7322753725650746,-1.2614995397566549,0.45849404372257135,-0.0956825674164405
2007-08-31,-20.009088115953013,-2.1911659442033242,-1.4865909881890726,0.5042601698384057,-0.03897264784048509
2007-09-28,-20.17198132961325,-2.353078125842648,-1.4601437189721373,0.5250748194125676,-0.043203590058993394
2007-10-31,-19.922163798400355,-2.0725814857294536,-1.4838034716288113,0.5060780365620616,-0.061434926356462576
2007-11-30,-19.626323324019413,-2.3982385353330025,-1.8832183903698951,0.5714800387348243,0.011905318279227405
2007-12-31,-20.17870591502167,-2.332053593798279,-1.582592610763229,0.4965845992071334,-0.03189891511764584
2008-01-31,-18.795458184867258,-2.686050867812356,-2.298221957715242,0.5347554016013607,0.13195221840222798
2008-02-29,-18.67238584281735,-3.0261764287066177,-2.6436020994269605,0.4631427676825581,0.21789503859826828
2008-03-31,-19.34991427623768,-2.7179948915827854,-2.351171126389535,0.668431513711441,0.07570403383091262
2008-04-30,-20.016353517484838,-2.5876048712082484,-1.9892336857342408,0.5778386479799799,0.002560259918288203
2008-05-30,-21.036364510670328,-2.494321230489082,-1.6536300842937184,0.727767698491342,-0.16119541270343749
2008-06-30,-22.054642445259475,-2.1191433776581063,-1.3774730362869791,0.6108675999603999,-0.1413871768983571
2008-07-31,-21.11000889253069,-2.089254183646496,-1.692182707698881,0.5113393080454888,-0.06367837642652587
2008-08-29,-20.452317799483975,-1.975598559974171,-1.92438885005322,0.5082087978079999,-0.012047577056642406
2008-09-30,-19.744325485490744,-3.066740337103907,-1.9751175877454827,0.5289880005176405,0.10752869670438114
2008-10-31,-18.296808288279585,-4.359416874928416,-1.7210875399092325,0.4331437989118788,0.2998617515868971
2008-11-28,-15.999970487534247,-4.469228998491017,-1.2124008586888666,0.640761854321513,0.16023629469216213
2008-12-31,-15.014887257830901,-4.495571151290366,-0.9555223110829981,0.12863479027922406,-0.11444504750669948
2009-01-30,-15.606543851798287,-6.213306956369458,-0.8972495791503237,0.230871608342366,-0.1037751046946467
2009-02-27,-15.007119460766086,-6.633529873282852,-1.1548457929103486,0.5338191715441909,-0.08680035450400651
2009-03-31,-14.629526485519163,-6.736879075123035,-1.128652713347799,0.6041414966156405,-0.08429829309766113
2009-04-30,-14.666092236122568,-6.65251484492549,-1.0531422024803399,0.5757617015533977,-0.14310776152389174
2009-05-29,-16.041910864909536,-7.457628947105181,-1.147351124625653,0.6595863101621338,0.0726201636276478
2009-06-30,-15.41238541724606,-7.306699382252254,-1.1401171108821457,0.8240792196375369,0.011878833276738745
2009-07-31,-14.378543567545039,-6.974010216738486,-0.9218483981583959,0.7656098501385477,-0.1163210315909856
