,PC_1,PC_2,PC_3,PC_4,PC_5
3M,-0.21573758984508265,0.40032224173371067,-0.42200317774753726,0.2577918461668165,-0.2482338269918225
6M,-0.2215754509650445,0.40935159585748543,-0.32469325412780675,0.2009907683007322,-0.11057336186821419
1Y,-0.22874389029780143,0.3866144308893189,-0.12073910487217145,-0.04841655289404676,0.21667011347411674
2Y,-0.23636229247411888,0.29748732377794607,0.14096871139891232,-0.2814988098684849,0.3591962680483055
3Y,-0.23892731259686534,0.20732461867433452,0.25879610226801064,-0.2625637280344559,0.2028759011507623
4Y,-0.23818374897638306,0.12862568415533387,0.3012651346131706,-0.1649375714052786,0.019442899479401705
5Y,-0.23539357191889299,0.06216673415076719,0.30176497030968175,-0.05370971353805925,-0.1166121431677974
6Y,-0.23146207705938268,0.006684809074401885,0.2778518003740849,0.047841773297963665,-0.19205517198798047
7Y,-0.22700890446447344,-0.03935223147377918,0.24001307865346636,0.13140140174755163,-0.21312699485444658
8Y,-0.22244213753351627,-0.07733844362289638,0.19502257500073295,0.19465517954685363,-0.1921042445732412
9Y,-0.21801867169167446,-0.10845817212809314,0.14740084933847322,0.2379683188901111,-0.14216966636054412
10Y,-0.21389015702736855,-0.13370404470509434,0.10016450964064938,0.2629721352363243,-0.07528776739963894
12Y,-0.20679145245043937,-0.1697954259713577,0.013930361076090624,0.267096917495267,0.07176892849705124
14Y,-0.2013166602103153,-0.19095321640380894,-0.055864707751807054,0.22596102725852169,0.19498595653349912
16Y,-0.19730723093513589,-0.20116780154544492,-0.10790132682327933,0.15673365677786302,0.26843119830451234
18Y,-0.19450129111315545,-0.20346209308914542,-0.14390597057550036,0.07286935739703514,0.28487179959452574
20Y,-0.19263133096824853,-0.20012251338262263,-0.1667557224274667,-0.01605337935684462,0.2476364511419849
22Y,-0.19146187821016106,-0.19286389738888043,-0.17949179111140579,-0.10376323083466486,0.1650130872699305
24Y,-0.19080012270356037,-0.1829592116373716,-0.18485758096708063,-0.18652130375033732,0.04684644389453008
26Y,-0.1904949546002618,-0.17134385314217115,-0.18512660802325775,-0.262387199943315,-0.09731399324062028
28Y,-0.19043157653536733,-0.15869853044697044,-0.18208039983471475,-0.3306192898428329,-0.25908554375358317
30Y,-0.19052495686899,-0.14551382494428688,-0.17705613777329526,-0.3912250161848017,-0.43155201214364314
