,PC_1,PC_2,PC_3
2005-01-03,-16.390871254587612,-3.436137591327227,-1.4014730534120174
2005-01-04,-16.37762743475714,-3.406679992882252,-1.2664443393195512
2005-01-05,-16.481005957454773,-3.4095315448838512,-1.240380218112481
2005-01-06,-16.25720052766138,-3.402435597287908,-1.2855027929834617
2005-01-07,-16.1218092143511,-3.3828915325392397,-1.2929444282430773
2005-01-10,-16.10718912228156,-3.390066655492376,-1.2753435012348746
2005-01-11,-16.10086059534261,-3.3172052757105415,-1.2642965635068244
2005-01-12,-16.136255803349517,-3.329206121070115,-1.26185065126
2005-01-13,-15.967317644829466,-3.3268784963559903,-1.2922140125377697
2005-01-14,-15.9238348991883,-3.25742271497408,-1.2456455837096967
2005-01-17,-15.820756180865773,-3.22571014533136,-1.245617493825636
2005-01-18,-15.871676739239152,-3.2038308153807082,-1.2054476552940947
2005-01-19,-15.686713534274016,-3.1037676315715617,-1.16827046328281
2005-01-20,-15.901020357382517,-3.180193457721352,-1.171459953762396
2005-01-21,-15.92946733351655,-3.2169289082758037,-1.192625907260934
2005-01-24,-15.807240768175387,-3.202172085089273,-1.2116773376378798
2005-01-25,-15.661015513082356,-3.1193226437471635,-1.1648212105551037
2005-01-26,-15.80969855715989,-3.146708643012021,-1.1224843021634379
2005-01-27,-15.923381021820921,-3.1444233790508482,-1.0823734139532761
2005-01-28,-15.770985886395861,-3.1422898072792265,-1.151972414764051
2005-01-31,-15.767321945809169,-3.1204263400710617,-1.1376883899788321
2005-02-01,-15.758983099432097,-3.1352747413453264,-1.1251608073084627
2005-02-02,-15.683477723684923,-3.0497329404760523,-1.0957256138671083
2005-02-03,-15.709526090581264,-2.979361419390492,-1.0155971338174419
2005-02-04,-15.515955944015012,-2.921087477992007,-1.0192872190226185
2005-02-07,-15.394990720530608,-2.8183727768655435,-0.9591633349587485
2005-02-08,-15.451081239713849,-2.8162976197800855,-0.9705458942199534
2005-02-09,-15.279699296381663,-2.775519957891955,-0.9739571547594216
2005-02-10,-15.24042983096077,-2.80836231009968,-1.0167116559201432
2005-02-11,-15.38293765468289,-2.907880320147277,-1.0651396364998693
2005-02-14,-15.502723468651919,-2.9309406066522934,-1.0471062812377392
2005-02-15,-15.545306807457923,-2.9212485203901806,-1.0200599915088195
2005-02-16,-15.516980175183429,-2.945039462357481,-1.079116393293665
2005-02-17,-15.868999446414945,-3.054496671250592,-1.0094642425050988
2005-02-18,-16.14489418013287,-3.173757275199425,-0.9852766199544577
2005-02-21,-16.22391531639666,-3.1867233708907925,-0.977824162448359
2005-02-22,-16.272908605990054,-3.2315968859019164,-1.002461131037122
2005-02-23,-16.21898285813859,-3.235512364070071,-1.038514366235714
2005-02-24,-16.323531862526675,-3.2723020538370773,-1.044767360925571
2005-02-25,-16.436012168748828,-3.2718018000492592,-0.9961920134719945
2005-02-28,-16.33462353992671,-3.2407564505299877,-1.001115075928891
2005-03-01,-16.43213651621546,-3.3071189446387517,-1.026978096058811
2005-03-02,-16.65019055501,-3.4163046974204283,-1.0450131482260985
2005-03-03,-16.584960790717442,-3.4481307925917015,-1.0951867878794075
2005-03-04,-16.37136483293808,-3.3926300232856135,-1.11320200768571
2005-03-07,-16.2039208685619,-3.3422034716869025,-1.1200965790936994
2005-03-08,-16.325631229105685,-3.4024245255159733,-1.1272915056741204
2005-03-09,-16.58058358259693,-3.484188398559748,-1.1103154440149492
2005-03-10,-16.56196555834612,-3.485718815295473,-1.1197262063870208
2005-03-11,-16.62051641624392,-3.5402838066638034,-1.1508135177104657
2005-03-14,-16.642686023427764,-3.513600559092825,-1.111256434997801
2005-03-15,-16.436053676786727,-3.4272736876185297,-1.1222590703832924
2005-03-16,-16.417436688652373,-3.322632701335258,-1.0589083417810408
2005-03-17,-16.316796512642497,-3.2734761176270433,-1.0732243755037554
2005-03-18,-16.463640535506908,-3.322229146369065,-1.0562927927938186
2005-03-21,-16.491674169216477,-3.2862348086184574,-1.0136458936153232
2005-03-22,-16.35178945734431,-3.2126602021234962,-1.0217228537849161
2005-03-23,-16.49407329888195,-3.223271181199339,-0.9823928748420101
2005-03-24,-16.422110257737838,-3.20002067166429,-1.0148749479417614
2005-03-29,-16.45200219101738,-3.210491173417238,-1.0019798362915888
2005-03-30,-16.41233639215132,-3.2182666800759083,-1.0360360399203783
2005-03-31,-16.2025034786355,-3.2307621653972194,-1.093800090580387
2005-04-01,-16.042896993835623,-3.2628241101219,-1.1950581147128434
2005-04-04,-16.04700204098967,-3.2110765280071285,-1.1367780977643918
2005-04-05,-16.019918607031947,-3.1923719157735904,-1.1317846025112375
2005-04-06,-16.038614711241713,-3.242777713953332,-1.1822949609768503
