,PC_1,PC_2,PC_3,PC_4,PC_5
2005-01-07,-15.812021603296394,-4.470908114060964,-1.676475771263938,-0.8679910467353068,-0.12082299303830105
2005-01-14,-15.624442820354048,-4.334230941020645,-1.622861263269317,-0.8168968534547248,-0.12000527622625254
2005-01-21,-15.633748434704179,-4.297041448078349,-1.5696226586090611,-0.7882503527451414,-0.11889308435066441
2005-01-28,-15.481724792308961,-4.213336256977777,-1.5242822957653568,-0.7615118912967819,-0.11679460180356661
2005-02-04,-15.245391712114532,-3.981355337295233,-1.3810180497106987,-0.6870360129883175,-0.1079078083266911
2005-02-11,-15.113088968694017,-3.956305380378561,-1.4234558006011861,-0.6974267977058762,-0.1083557231024394
2005-02-18,-15.854486289398354,-4.279678943865264,-1.3654724648341234,-0.7519745759271964,-0.10147311917796308
2005-02-25,-16.137489088116705,-4.397927104895787,-1.3857402531178615,-0.755820540974287,-0.10733360891080086
2005-03-04,-16.062651675106146,-4.5080335536964595,-1.506901049040485,-0.7693129666495055,-0.12467112705107199
2005-03-11,-16.299821646022053,-4.6713222233520115,-1.5549482419077592,-0.7840797803548931,-0.13474799763071618
2005-03-18,-16.160518777822478,-4.447045077078254,-1.4467786648536818,-0.7888137265460531,-0.10581830793257928
2005-03-24,-16.12857044766819,-4.324161802778195,-1.3984794564066858,-0.7948148812426598,-0.09485274930264156
2005-04-01,-15.743407072754287,-4.350394810215858,-1.5729891613689204,-0.8397068938428702,-0.10769547998422037
2005-04-08,-15.75472150449682,-4.434658697357505,-1.6515555079730408,-0.8364541955768027,-0.11851656325048775
2005-04-15,-15.440197613425452,-4.358618398189872,-1.678770033893661,-0.8328560465189371,-0.12096786236624221
2005-04-22,-15.274615321080615,-4.306076025635353,-1.6579037222061772,-0.7812442590000029,-0.12881922009494448
2005-04-29,-15.12641971913711,-4.275100918617693,-1.669982940247372,-0.7418739927979607,-0.14185523408401757
2005-05-06,-15.123961907579755,-4.29904677208094,-1.6620346651890783,-0.6957798587031344,-0.11464609214287398
2005-05-13,-14.645931935176701,-4.015574313544284,-1.6318488961170385,-0.6797483353189737,-0.10379926056116592
2005-05-20,-14.75088294718871,-3.977654740808986,-1.5309217881843742,-0.6551399885542073,-0.0959771940777437
2005-05-27,-14.694534712177061,-4.1075457462102865,-1.7079745199470098,-0.6760324933465954,-0.11408856919033783
2005-06-03,-14.057106878040901,-3.8230372061981734,-1.7328421871939557,-0.6646673834326506,-0.1842867526092729
2005-06-10,-13.913683391137551,-3.7243805888451025,-1.6364852148437674,-0.5571423144209532,-0.1587108488170313
2005-06-17,-14.473096346522668,-3.9830187937122847,-1.6031173314277314,-0.6087817943746807,-0.1530928965305422
2005-06-24,-13.789105168914993,-3.7722056198155505,-1.6643819488654814,-0.544724194873619,-0.17556074731516977
2005-07-01,-13.84144511581269,-3.7683995429551884,-1.6834894264910656,-0.5531118139012441,-0.1761655997925603
2005-07-08,-14.036818831898252,-3.759987105319285,-1.6369952143370976,-0.6066456736483574,-0.14698674114031285
2005-07-15,-14.531898611328167,-3.9374064190593008,-1.6681735085425702,-0.6997795888197211,-0.128680535174006
2005-07-22,-14.313614209017716,-3.8532829997813645,-1.6757389297681464,-0.6580614918251521,-0.13633001723368313
2005-07-29,-14.322575306596521,-3.767615413134846,-1.63809506468928,-0.6638169747248736,-0.12380073362048212
2005-08-05,-14.822278380759064,-3.913155027032819,-1.5352484191284113,-0.6768436374225035,-0.11348086686718445
2005-08-12,-14.558769812649277,-3.819481325870787,-1.558823411073081,-0.6582056688502451,-0.1149083875256684
2005-08-19,-14.166780955186427,-3.676783560161106,-1.6004400748480136,-0.6207814968376109,-0.12114261360059131
2005-08-26,-14.001726992857439,-3.541012770180556,-1.5766244901677495,-0.6413246906477637,-0.10605367249905934
2005-09-02,-13.660852226465742,-3.5183510319129385,-1.6357580006896566,-0.641915532867238,-0.11098031671275645
2005-09-09,-13.634017538386287,-3.4326349163665784,-1.6053429506760353,-0.6469651408450052,-0.10194282269387558
2005-09-16,-14.009967819535104,-3.5330463219179387,-1.5651689304161696,-0.7133976200719567,-0.0926352289810915
