,PC_1,PC_2,PC_3
3M,-0.19101607729386194,0.40139696558365723,-0.4062969957313678
6M,-0.19616818594432964,0.41082949549653647,-0.33056413615540936
1Y,-0.20373716186068488,0.39256224314964683,-0.15482769229091461
2Y,-0.21394110695723723,0.31511052597689265,0.10278379576927989
3Y,-0.21993742575229336,0.2332911969791023,0.23730084819158032
4Y,-0.2231242398437363,0.15894996795594923,0.29522616280976965
5Y,-0.22447927104512813,0.09392627393002514,0.3063614682759457
6Y,-0.22467354017213895,0.038000318641237624,0.28904210966032096
7Y,-0.22415839641591076,-0.009586663755099032,0.25511259699487265
8Y,-0.22323124342643594,-0.04970532051615317,0.2124035133215802
9Y,-0.22208351919579286,-0.08320360489940418,0.16610090374715072
10Y,-0.22083533433575175,-0.11086692096928794,0.11959197997461538
12Y,-0.21830004062113723,-0.1514779187793361,0.03368342393002119
14Y,-0.21591079092983528,-0.17645047470345135,-0.03693190502703528
16Y,-0.21374231276482974,-0.18972828919179366,-0.0907799638395621
18Y,-0.21179244010049578,-0.1944242175871844,-0.1294357135688289
20Y,-0.21003502075926148,-0.19295193916849576,-0.15558030819531846
22Y,-0.20843973504847652,-0.1871515476468806,-0.1720497747237853
24Y,-0.20697894447851123,-0.17840470850489354,-0.18140462015350955
26Y,-0.20562959074257353,-0.16773493483614396,-0.18577180884040098
28Y,-0.20437325962419176,-0.15589103409170108,-0.18682408851821078
30Y,-0.2031956136495711,-0.1434141440551723,-0.18582283378120806
