,PC_1,PC_2,PC_3,PC_4,PC_5
3M,-0.21466269766746127,0.3977795386028858,-0.41503004461394294,-0.24343027616948662,0.23120139706389556
6M,-0.22083383600109913,0.4074319828802069,-0.32315751774685253,-0.19275598987154102,0.13961562141109166
1Y,-0.22830968514647806,0.38773033643318605,-0.12572153996776325,0.01545961759390481,-0.1762436612519278
2Y,-0.23602293976094255,0.30111846192369357,0.13561013644610967,0.24320879101517212,-0.37137179970073825
3Y,-0.23862586472774022,0.21048172989883623,0.2562759212992687,0.2505556998109555,-0.24015376302469735
4Y,-0.23796698093420318,0.13058176527872148,0.3008019529398863,0.17244801735220752,-0.05291461549047834
5Y,-0.2352766339104484,0.06293537414575308,0.302561249702322,0.07120912796181518,0.09815692636891654
6Y,-0.23144170193966315,0.0064747015204018096,0.27940555023681884,-0.027202933398798042,0.1900205079366848
7Y,-0.22707685454184245,-0.04030546989016735,0.24200850795602138,-0.1119700274702419,0.22491581040864556
8Y,-0.2225895550037616,-0.0788203827694841,0.19724791443191633,-0.17899927909699606,0.2138982485343612
9Y,-0.2182366656654769,-0.11028563251021925,0.1497067364276377,-0.2274364102908117,0.1701336509004266
10Y,-0.21416956035747103,-0.135723716185314,0.1024430231269579,-0.25807700191562105,0.10605638503903064
12Y,-0.20716453785117195,-0.17183869217359182,0.015941194991388574,-0.272919137298725,-0.04294491440109889
14Y,-0.20174340349164374,-0.1926675692263099,-0.0542871437192916,-0.23984702735436425,-0.17416854709883103
16Y,-0.19774978361781875,-0.2023180029607124,-0.10684429745039839,-0.17507646393741347,-0.2579411057390818
18Y,-0.19492732141327818,-0.20390057733731992,-0.14342779473371586,-0.09197115844905321,-0.2845869544353864
20Y,-0.19301563971605257,-0.19976776309146377,-0.1669139335273866,-0.0004420309928351649,-0.2560348613835512
22Y,-0.19178656198658608,-0.19168343527149362,-0.18035473254758655,0.09273030546398572,-0.17990482774205113
24Y,-0.19105385961984883,-0.1809559159414936,-0.18650517097987912,0.18325563455843366,-0.06584521646885937
26Y,-0.1906718902553509,-0.1685450396207219,-0.1876455420255815,0.2686697023869543,0.0765106997495455
28Y,-0.19053011981986767,-0.1551474272447648,-0.1855575852496022,0.34776623384331506,0.23854692527860064
30Y,-0.19054665714232166,-0.14126309047344884,-0.18157259184998933,0.4201578257528537,0.4130486415477061
