,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
2005-01-07,4.814017898681127,-2.8081029270905224,0.009410162154805552,-1.3205430195030217,3.342847008965379,2.5493120953157407
2005-01-14,4.696064954562282,-2.6761037925621536,0.0763428059639111,-1.3247277131024129,3.311927596826651,2.4040067119394823
2005-01-21,4.647069408526353,-2.6251413314218723,0.17871089336765528,-1.3078291069607209,3.2899717473503887,2.3261386218240534
2005-01-28,4.5679152575632855,-2.5553517662776812,0.2361163647340335,-1.2700574130694529,3.3069120639383747,2.2769546600963233
2005-02-04,4.373578341616299,-2.3594250166955786,0.40029770691747385,-1.1590204996156006,3.267389903994388,2.1771585278078387
2005-02-11,4.3706263578409335,-2.355344297027211,0.3737263045151787,-1.205351520450915,3.3511275412259343,2.239244993660406
2005-02-18,4.568959781261539,-2.6000332721060753,0.5877669851006037,-0.9444479492875052,3.5027030627495934,2.398992952383064
2005-02-25,4.646518449519398,-2.6551354617008687,0.6811147140474516,-1.003642689603495,3.53243163940183,2.2794818587301453
2005-03-04,4.708419885290944,-2.707110886845113,0.701822031273396,-1.2113228921121344,3.725560369032373,2.108217316456796
2005-03-11,4.804588534288958,-2.7961376265080933,0.7989472352389646,-1.2805087977401002,3.845422907808663,2.014299258103195
2005-03-18,4.703172941660131,-2.711724078376708,0.7595455493309393,-0.9480973735807088,3.8816062584155615,2.431483264852983
2005-03-24,4.66864248695438,-2.6677285419983288,0.6860671560081784,-0.7464452143404557,3.940836799913322,2.82106748234611
2005-04-01,4.712747733303403,-2.721437671266582,0.5668766769917413,-1.0204665201022411,4.14041921815921,2.7007800286367862
2005-04-08,4.749901427452795,-2.7403424417825053,0.663015690291677,-1.2552152994557708,4.199855421931681,2.46495837858098
2005-04-15,4.693097720396691,-2.698828122769518,0.6020246298099134,-1.3157874783984704,4.252356354112776,2.4394272473372642
2005-04-22,4.6029068232727965,-2.6011772835017566,0.6840216108533218,-1.4001507745865194,4.266456768338949,2.195201226927226
2005-04-29,4.546602779849255,-2.525792541292505,0.7196500937050095,-1.5399646773226567,4.2853918089202985,2.0039655243606176
2005-05-06,4.432781571476869,-2.427492169521602,1.979984185018332,-2.439258384169684,4.3790672971250135,2.5199114386922856
2005-05-13,4.283968217327344,-2.2736981988598477,1.886375019739998,-2.4278587510386678,4.40241254562932,2.6556669856832213
2005-05-20,4.237206596622775,-2.237508154549633,1.9847821597386768,-2.2885403737173315,4.331918504948421,2.695599036031549
2005-05-27,4.322905285288947,-2.290940366603406,1.8879628893346057,-2.5079437992579323,4.5432465580647525,2.5068832635794043
2005-06-03,4.300872316678988,-2.1908866540680303,-0.2518772252333035,-1.6414388253391057,3.8246792604138022,1.5447877022929697
2005-06-10,4.089678884668063,-2.004729426114205,1.1258264943327814,-2.8681746800881247,3.2750276395743247,2.056257909198381
2005-06-17,4.255654296567238,-2.2123076743162864,1.175400064106103,-2.6875331861713536,3.2574851138906498,2.091739498489884
2005-06-24,4.082933055114607,-2.007678319042757,0.9504696804821268,-2.775380043191288,3.383561891804389,1.919461564605405
2005-07-01,4.107608972165,-2.012392427598217,0.8389599582992027,-2.717161831347489,3.3827325745689856,1.9083926264060096
2005-07-08,4.157382338264679,-2.095039324749791,0.8302779376863781,-2.5055474210474027,3.306789936095174,2.1098981357930358
2005-07-15,4.352498777095053,-2.3054028909057807,0.888363601109241,-2.43869205763614,3.3544496885437,2.3881925063892537
2005-07-22,4.269624391583665,-2.2020461086976457,0.9040314195331146,-2.484748169854868,3.437360224893783,2.268387232916929
2005-07-29,4.245323093897658,-2.17181014067042,0.964463153851067,-2.43300151807228,3.441233926864757,2.3948038889979384
2005-08-05,4.322365932476639,-2.2762802900628327,1.1978100995648011,-2.238239270288773,3.4720895674148204,2.4797977219248377
2005-08-12,4.252337919382877,-2.1985800101991497,1.193710255153302,-2.2859794712842105,3.5746633502514493,2.453526987237331
2005-08-19,4.144288760925589,-2.0662280861594664,1.1614578619827851,-2.400061821977618,3.684806184050237,2.359811447574071
2005-08-26,4.100812931765752,-2.032940102251789,1.1709574668501324,-2.3607446661621427,3.71784207192546,2.5854321599979917
2005-09-02,4.056671627079865,-2.01548044334178,1.1402367558356283,-2.4521041035240208,3.8715746255532575,2.5496764116892425
2005-09-09,4.030526936999247,-1.9832774368807924,1.187809144350788,-2.4193024193649317,3.90290936652528,2.6894296568168192
2005-09-16,4.160911252646455,-2.1371254062971747,1.2721320854891929,-2.2998753486235355,3.9472217724294167,3.066244406068868
2005-09-23,4.038645634990368,-2.0173645034744867,1.3148649778599355,-2.25692315222637,4.0237824099067465,3.2116380300772303
2005-09-30,4.094302916993762,-2.0809009733272243,1.3879690110503262,-2.0992370484068856,3.8708459358509977,3.7464612040721037
2005-10-07,4.1454960423909375,-2.1022442426701327,1.3746500712833292,-2.0953902231095256,3.786782548580064,3.9559727091954913
2005-10-14,4.1311356562182615,-2.1885593013490467,1.2662053548436587,-3.7657248896643374,1.2289868771592465,2.0019594471897943
2005-10-21,4.080721989541998,-2.1726767231394644,1.3842636243553184,-3.7783649465458415,1.1760732839205237,2.034670526391844
2005-10-28,4.165731590462136,-2.211501187233102,1.3965004426023095,-3.7498707345973568,1.0256982933933083,1.8615728840738583
2005-11-04,4.172104242740353,-2.235685529524964,1.4540938242125718,-3.660046025401519,0.9590704040719282,1.7130527214004638
2005-11-11,4.140542292953272,-2.1657600017352223,1.5663067563274615,-3.5513563445410115,0.9080058784705161,1.6118390029804504
2005-11-18,4.134806059988547,-2.053601524869794,1.6829765693275915,-3.4454631184996467,0.9490029067772292,1.6757113615469037
2005-11-25,4.078409639876901,-1.9065146147047418,1.521503637109169,-3.640713199720423,0.9894052295316168,1.7400521620109195
2005-12-02,4.080771407452233,-1.8903502369076872,1.5882888006874247,-3.6462260100039794,1.075311457578119,1.7690471576234834
2005-12-09,4.075831952250828,-1.9081478595519357,1.7019558576557412,-3.507718297734661,1.067131561564909,1.8234234047858768
2005-12-16,3.9611555921014827,-1.7547285844135103,1.805354852409184,-3.332101364311464,1.1639648651041072,1.96337665023098
2005-12-23,3.86858833330118,-1.6863337987350002,1.9984348702908028,-3.035321522552073,1.1182607125646256,1.7930844136884398
2005-12-30,4.032927020704841,-1.8538585662241736,1.7612299296174967,-3.504881961372313,1.2565852294470612,2.5906876752186823
2006-01-06,3.824341481816989,-1.6243008094049007,1.8925826487949744,-3.283690516284471,1.1056092734779863,1.8205372151430892
2006-01-13,3.7744533103478735,-1.560530864356275,2.0408074936978804,-3.1365656046222745,1.19806413167213,1.9311071206348496
2006-01-20,3.8705669205622697,-1.6288518879459382,2.0729393380822434,-3.0746472612430558,1.274637057108009,1.9934358303119284
