,PC_1,PC_2,PC_3
2005-01-03,-16.32881978195085,-3.6689074534147186,-1.48628906685708
2005-01-04,-16.316495102602808,-3.641159168913433,-1.3507171463866452
2005-01-05,-16.4199102458241,-3.6460346565995736,-1.3252275092669104
2005-01-06,-16.19614005303208,-3.6349699995688503,-1.3705223385635068
2005-01-07,-16.061056260963593,-3.613224462582049,-1.3773568365999984
2005-01-10,-16.04638643701649,-3.620427258977312,-1.3598524140688428
2005-01-11,-16.04125944815174,-3.5476996490561303,-1.3480808795331833
2005-01-12,-16.07646643739458,-3.560278111344734,-1.345872155209519
2005-01-13,-15.907506097083386,-3.554951629125967,-1.3760966359756455
2005-01-14,-15.865302168079173,-3.4855760273026744,-1.3288598491192836
2005-01-17,-15.762744100020035,-3.452279976965521,-1.3281729025323967
2005-01-18,-15.814150993136995,-3.431828262368695,-1.2881583202981077
2005-01-19,-15.630958846019382,-3.329588254226848,-1.2498983055640824
2005-01-20,-15.843988986717013,-3.409185193965214,-1.2541860268713259
2005-01-21,-15.871782232475972,-3.446060653906949,-1.2759947832288345
2005-01-24,-15.749742591139613,-3.429125730472328,-1.294458160661936
2005-01-25,-15.605043588083785,-3.3448380239667985,-1.246879875326147
2005-01-26,-15.753418722580687,-3.375158738990223,-1.2054737678952865
2005-01-27,-15.867248153107123,-3.375192428991945,-1.16551295779857
2005-01-28,-15.714664784137776,-3.3696457150161727,-1.2343808694634455
2005-01-31,-15.711398738526043,-3.3479512041441586,-1.2198743500418368
2005-02-01,-15.702863856138704,-3.362822005035572,-1.2074049541951883
2005-02-02,-15.628840129659915,-3.276628477395907,-1.1770243738400379
2005-02-03,-15.656313951593598,-3.208021780938775,-1.0971102164768771
2005-02-04,-15.463685291845223,-3.146706663747521,-1.0995018221323583
2005-02-07,-15.344583873259687,-3.043074227178531,-1.0380649545735856
2005-02-08,-15.400626424057116,-3.041576689499561,-1.0488111431187335
2005-02-09,-15.229930694589799,-2.9981983584959297,-1.0517754541066173
2005-02-10,-15.18999547308505,-3.0297718978625543,-1.0946583129188183
2005-02-11,-15.330727376543352,-3.1307167450602615,-1.1444490620842716
2005-02-14,-15.450187990192783,-3.1558831575809334,-1.1270153793987499
2005-02-15,-15.492995499847416,-3.1471889750207276,-1.0996486945249517
2005-02-16,-15.464046200410218,-3.16947722231649,-1.1577455411695472
2005-02-17,-15.814550841090444,-3.285523107205049,-1.0914244165242584
2005-02-18,-16.088598656192787,-3.409387352709152,-1.0696461763896397
2005-02-21,-16.167426323083927,-3.423682677925197,-1.0625724816572768
2005-02-22,-16.215629441088172,-3.4689933705676017,-1.0881875258574332
2005-02-23,-16.161522924364775,-3.471529409704459,-1.1240042668424564
2005-02-24,-16.265445333975368,-3.509816825774056,-1.1308856982204787
2005-02-25,-16.37809114635299,-3.5118098341422535,-1.0828967429765979
2005-02-28,-16.277192795204797,-3.4791250384884815,-1.0871093134629892
2005-03-01,-16.37354266960624,-3.54656864070379,-1.1138841039016567
2005-03-02,-16.589766811973842,-3.658822286911196,-1.1338214491216048
2005-03-03,-16.52386204358616,-3.6888514744238634,-1.1839324789853247
2005-03-04,-16.311137974990512,-3.6298711139746427,-1.201077819535831
2005-03-07,-16.144502635976263,-3.5767873048127736,-1.2069979482576814
2005-03-08,-16.265216923293238,-3.638778987659933,-1.2153419053936034
2005-03-09,-16.518893228327663,-3.7247283310882695,-1.2001947867867808
2005-03-10,-16.500222060665426,-3.7258331477967106,-1.2095686075034586
2005-03-11,-16.55778515558792,-3.780802869660418,-1.2413032187378406
2005-03-14,-16.58051176164983,-3.755060253899807,-1.2015729407387326
2005-03-15,-16.375242175261366,-3.6653970582345705,-1.2108754245217779
2005-03-16,-16.35847569588732,-3.561325413569983,-1.1455980488757405
2005-03-17,-16.258581719401334,-3.5104203162785916,-1.158998834966438
2005-03-18,-16.40468284786829,-3.561661444320253,-1.1430069842205182
2005-03-21,-16.433435786810524,-3.526769715333311,-1.1002099627489232
2005-03-22,-16.294696678335605,-3.450876221897796,-1.1066092281700999
2005-03-23,-16.436934453506595,-3.464309474588161,-1.068102113845149
2005-03-24,-16.365218597914563,-3.4393928248417924,-1.0995532392869918
2005-03-29,-16.394986319530005,-3.4505194059416118,-1.0869428536101184
2005-03-30,-16.355078927186202,-3.457147410775952,-1.1207566581863548
2005-03-31,-16.144869561100396,-3.4654719187263163,-1.1776748957863146
2005-04-01,-15.984409044463298,-3.4934646039543344,-1.278186912146257
2005-04-04,-15.989601069314663,-3.4429279158093644,-1.2209114221641113
2005-04-05,-15.962834597731334,-3.4238797382485915,-1.215591654595977
2005-04-06,-15.980531558818354,-3.473720769150467,-1.2661641120932763
2005-04-07,-15.91379733041659,-3.510098420861276,-1.3106096216304115
2005-04-08,-16.00146214548655,-3.5793647453417274,-1.3534322979339029
2005-04-11,-15.932297171873218,-3.5571528195104474,-1.3423837969166064
2005-04-12,-15.88655018547618,-3.5114473032686346,-1.3107685543058976
2005-04-13,-15.797168064241276,-3.4818456287155577,-1.329828501200432
2005-04-14,-15.838793488276334,-3.5063539477524808,-1.3268783079008064
2005-04-15,-15.683479741551063,-3.5223605443239334,-1.386369261439159
2005-04-18,-15.671995708399903,-3.5345630660995195,-1.3736609208861539
2005-04-19,-15.52548345664362,-3.4787385508332043,-1.3821390407303322
2005-04-20,-15.529045187957312,-3.4812263760754596,-1.3928401761413074
2005-04-21,-15.629478633700602,-3.4941232403294227,-1.3425609481689054
2005-04-22,-15.514860223794262,-3.478420887401416,-1.3673542967870307
2005-04-25,-15.466064646053956,-3.4494317883081305,-1.3708532084852894
2005-04-26,-15.389741876573302,-3.4264284669451115,-1.371115497542641
2005-04-27,-15.27389367425125,-3.385115488446223,-1.3659624517152062
2005-04-28,-15.258486538878447,-3.4129933626080238,-1.3879819532542872
2005-04-29,-15.365231581105125,-3.456108238478379,-1.3805425196367205
2005-05-02,-15.227022044813458,-3.4082506144186437,-1.3754984426931336
2005-05-03,-15.171018216436,-3.4231004110809655,-1.3942703652862711
2005-05-04,-15.296214894141674,-3.4603146764321924,-1.3822501528103128
2005-05-05,-15.267522976656387,-3.470581862451839,-1.410008664597859
2005-05-06,-15.36412507291039,-3.4797562459219495,-1.3713554421189023
2005-05-09,-15.351889185273881,-3.453223508564349,-1.3418958497018938
2005-05-10,-15.07020971179972,-3.358304088314118,-1.3667913364210564
2005-05-11,-14.967843738042196,-3.2963041647688356,-1.3599553434846443
2005-05-12,-14.97738103319491,-3.275125289485258,-1.3426615765067609
2005-05-13,-14.87041166172629,-3.2232664309117376,-1.3554760216109116
2005-05-16,-14.892557286373183,-3.21370643124967,-1.3367742636952546
2005-05-17,-14.929377339304695,-3.2413712346431147,-1.3449879646299467
2005-05-18,-14.773679790615892,-3.1560292648270343,-1.3129433266868242
2005-05-19,-14.809892272838457,-3.151558293411879,-1.2918214331573648
2005-05-20,-14.971752811984517,-3.176058611548657,-1.254246572630847
2005-05-23,-14.874941050774668,-3.1292474759056095,-1.2621921932358802
2005-05-24,-14.70889398594825,-3.119739800524936,-1.3111109292969165
2005-05-25,-14.690551016688907,-3.1663995668635083,-1.3607389132553567
2005-05-26,-14.854816080060283,-3.2326274998009734,-1.3593420854643412
2005-05-27,-14.925098587304387,-3.3146396530139497,-1.427617015560075
2005-05-30,-14.931124111293341,-3.323177532420531,-1.4356837262272997
2005-05-31,-14.699142593093097,-3.220823113427378,-1.397500033022539
2005-06-01,-14.609919181035314,-3.303919842924638,-1.4620278840369236
