,PC_1,PC_2,PC_3
2005-01-07,-16.064106968489153,-3.6005890591251815,-1.3762997498230036
2005-01-14,-15.868247703126714,-3.473119096823736,-1.3276450614529354
2005-01-21,-15.874684293742506,-3.433619051536053,-1.2746583985318631
2005-01-28,-15.717499241032627,-3.357340171685087,-1.232976266248966
2005-02-04,-15.466317532738792,-3.1346428892171008,-1.0978422670457513
2005-02-11,-15.333361185595988,-3.1187431386709283,-1.142870329151302
2005-02-18,-16.09140921628181,-3.3968252080867902,-1.0680695266161104
2005-02-25,-16.38098233711512,-3.499026198261923,-1.0812644594596779
2005-03-04,-16.314155292308694,-3.6171154058215285,-1.1995588246720073
2005-03-11,-16.560927100386312,-3.7678482058320437,-1.2397976971312878
2005-03-18,-16.407626964375982,-3.5488357662109733,-1.1414985739559094
2005-03-24,-16.368055953892867,-3.426599973724841,-1.098051412983849
2005-04-01,-15.987340594395224,-3.480913962163611,-1.2770074803282983
2005-04-08,-16.004483379218094,-3.5667940674458016,-1.3522582474702571
2005-04-15,-15.686469760838907,-3.510026280708113,-1.385278376235556
2005-04-22,-15.517817733585366,-3.466240026648325,-1.3661178594869217
2005-04-29,-15.368182108219097,-3.444055419320899,-1.3792142646027554
2005-05-06,-15.367094360210377,-3.467741133784302,-1.369785953502292
2005-05-13,-14.873185633783338,-3.2116338159726796,-1.3539521775152914
2005-05-20,-14.974460917442196,-3.1643740579850093,-1.2525771857309738
2005-05-27,-14.927965355527087,-3.3029595058239094,-1.4260841027255255
2005-06-03,-14.275268131495377,-3.0564236143883803,-1.4648394435706507
2005-06-10,-14.12520690635178,-2.9628400697115014,-1.3708455564433217
2005-06-17,-14.698171486999627,-3.1876638027692747,-1.3246651497705157
2005-06-24,-14.00389773223946,-3.018539430812038,-1.3976752260016025
2005-07-01,-14.056177439202678,-3.0123522372520064,-1.4165427598792404
2005-07-08,-14.25025739211142,-2.9915485359079397,-1.3707387925029564
2005-07-15,-14.75523086076794,-3.141407351352652,-1.394082661351566
2005-07-22,-14.532524904666463,-3.070131233214642,-1.4052680066893282
2005-07-29,-14.536085649491362,-2.983007488575593,-1.3708497280101493
2005-08-05,-15.042008123322137,-3.096033970378979,-1.25845089350463
2005-08-12,-14.77385179967486,-3.0185174232532876,-1.2873665115229924
2005-08-19,-14.374820580537353,-2.900001528432545,-1.3366046872459711
2005-08-26,-14.201978549191455,-2.773517932799834,-1.3201239647885594
2005-09-02,-13.861151217772191,-2.772579949144893,-1.3836746148145105
2005-09-09,-13.829056117663415,-2.68769562326645,-1.3567551390778743
2005-09-16,-14.20967954369834,-2.7651501095732876,-1.3114975793099224
2005-09-23,-13.905990711164986,-2.5853798275579005,-1.2614691211714593
2005-09-30,-14.246417739269381,-2.5353927982753226,-1.114794496326442
2005-10-07,-14.448680472832706,-2.505353155856241,-1.0836454934459125
2005-10-14,-14.74756887318309,-2.6661619781959063,-1.0741567928695428
2005-10-21,-14.61849857413704,-2.5564138576813384,-1.0487146533917313
2005-10-28,-15.237814649033828,-2.584858193681645,-0.997443453261556
2005-11-04,-15.5021913749716,-2.6162858409351046,-0.908338485110827
2005-11-11,-15.677814348179686,-2.502551346946092,-0.846849022449882
2005-11-18,-15.824268808093187,-2.3269648939790875,-0.8590826649825241
2005-11-25,-15.392774033458286,-2.2500374267081087,-1.0020803873672357
2005-12-02,-15.380089080580612,-2.2650716557296753,-0.9984712590685666
2005-12-09,-15.483848280219659,-2.186394999090082,-0.9455713344124459
2005-12-16,-15.17553317949319,-1.9504205289912717,-0.922195095617359
2005-12-23,-15.275220527694628,-1.8375335379703674,-0.762537192599429
2005-12-30,-14.89924867350404,-1.7964124281697322,-1.0115607610897164
2006-01-06,-14.86805207894476,-1.812967559014104,-0.881571156286946
2006-01-13,-14.81691139332651,-1.6827813019659577,-0.8253560087301276
2006-01-20,-15.205056956368733,-1.7655409973351417,-0.7963038243481713
2006-01-27,-15.700337773679639,-1.977992817758881,-0.8031914601842362
2006-02-03,-15.867748499478509,-1.9413888484752952,-0.7112896057619098
2006-02-10,-15.596864765497886,-1.8743257688384372,-0.7930097109192059
2006-02-17,-15.751303091598782,-1.9593634248860181,-0.8314746040678157
2006-02-24,-15.821269844741597,-1.8336416630641628,-0.7810419560331076
2006-03-03,-16.226948006196917,-1.7788694379593237,-0.638609309579688
2006-03-10,-16.660261922489116,-1.9958564204646685,-0.707782719180045
2006-03-17,-16.680708078704946,-1.8635540570798756,-0.6222834930181006
2006-03-24,-16.571227194498334,-1.832678246629821,-0.7011686711634241
