,PC_1,PC_2,PC_3
3M,-0.1963718090868775,0.40237648536055104,-0.41065086174187454
6M,-0.20164848187022752,0.4117713875760709,-0.32902302510109643
1Y,-0.20920071085372022,0.39218289639708187,-0.1463650334009314
2Y,-0.2189444223852261,0.31136310343504836,0.11310080432002097
3Y,-0.22419131820838525,0.22720789978049558,0.24470550060102356
4Y,-0.22649357205876014,0.15163716757097453,0.29941552313433767
5Y,-0.22693303779058024,0.0861538444642451,0.3077980609093619
6Y,-0.22624546422504854,0.03024302964387494,0.28815324442069384
7Y,-0.22491758332505582,-0.01705776922384768,0.25220367572267793
8Y,-0.22326276136248524,-0.056747352168149134,0.20771316326964345
9Y,-0.22147650537270155,-0.08974960286892052,0.1598563226592095
10Y,-0.21967621721367162,-0.11689265325162698,0.11203854435501794
12Y,-0.21626957274913278,-0.15646994749655355,0.024347261291850917
14Y,-0.21326642704526275,-0.1804644767211945,-0.04685224974670224
16Y,-0.21068097082274992,-0.19282932357504032,-0.10013366379848256
18Y,-0.20846069486939162,-0.19667165752180601,-0.13724262329742945
20Y,-0.2065400517508691,-0.19439782358415722,-0.16108154855760187
22Y,-0.2048587241311029,-0.18784166119576023,-0.17470656071244714
24Y,-0.2033665697803247,-0.1783797729908018,-0.18087034847860692
26Y,-0.20202382498807744,-0.16703152857263265,-0.18185483203564487
28Y,-0.20079979016950336,-0.15454230724093343,-0.17945083450361946
30Y,-0.1996711800146653,-0.14145041164645414,-0.1750056366626273
