,PC_1,PC_2,PC_3
3M,-0.19626534541552312,0.4025283353245231,-0.4093672620177562
6M,-0.2014663031164889,0.41187121778064884,-0.3289499020765549
1Y,-0.2089270329010611,0.39227095489438757,-0.14619109930686466
2Y,-0.21861951937857493,0.31151460282162896,0.11297643161443607
3Y,-0.2239074589691968,0.22744003989925857,0.24418734094539704
4Y,-0.22627185071440364,0.1519058853933113,0.29886190207086555
5Y,-0.2267738611651931,0.08640740502638818,0.3074207364254368
6Y,-0.22614500900010664,0.030449258865632878,0.28803705321148215
7Y,-0.2248707799142397,-0.01691047857966229,0.25236797606343947
8Y,-0.2232638446320087,-0.05665690265183351,0.20814641236613593
9Y,-0.22151936411737985,-0.0897067980803656,0.1605321128986263
10Y,-0.2197547277178213,-0.11688565857909128,0.11292268566335968
12Y,-0.21640218330694663,-0.15649977362143797,0.025528857251608656
14Y,-0.21343338833260248,-0.18049353462292841,-0.04554651446999492
16Y,-0.2108667803139279,-0.19283105645500917,-0.09888146664390218
18Y,-0.2086537187532096,-0.19662741370615033,-0.13621378971881343
20Y,-0.20673181767708276,-0.19429389023697283,-0.16042887056088231
22Y,-0.20504320582700547,-0.18766741556302158,-0.1745603591166148
24Y,-0.2035395769157573,-0.17812672180726766,-0.18133644466895052
26Y,-0.2021825211639796,-0.1666928606488746,-0.183015012484953
28Y,-0.2009423272922661,-0.1541126888327318,-0.18136484118357102
30Y,-0.19979642722105903,-0.14092587150299676,-0.17771391284322544
