            mae_act  mae_naive
2017-01-02 0.111991   0.037848
2017-01-03 0.101779   0.058438
2017-01-04 0.104871   0.068725
2017-01-05 0.111931   0.084695
2017-01-06 0.116136   0.088344
2017-01-02 0.111991   0.037848
2017-01-03 0.101779   0.058438
2017-01-04 0.104871   0.068725
2017-01-05 0.111931   0.084695
2017-01-06 0.116136   0.088344
2017-01-02 0.111759   0.037848
2017-01-03 0.102075   0.058438
2017-01-04 0.105550   0.068725
2017-01-05 0.113587   0.084695
2017-01-06 0.118215   0.088344
2017-01-02 0.111759   0.037848
2017-01-03 0.102075   0.058438
2017-01-04 0.105550   0.068725
2017-01-05 0.113587   0.084695
2017-01-06 0.118215   0.088344
2017-01-02 0.111759   0.037848
2017-01-03 0.102075   0.058438
2017-01-04 0.105550   0.068725
2017-01-05 0.113587   0.084695
2017-01-06 0.118215   0.088344
